127.0.0.1 - - [05/Dec/2014:17:42:21 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:42:22 +0300] "GET /LABA_FOUR/LoginForm.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:42:22 +0300] "GET /LABA_FOUR/LoginForm.css HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:42:35 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:42:42 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:42:42 +0300] "GET /LABA_FOUR/trains.css HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:00 +0300] "POST /LABA_FOUR/addServlet HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:03 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:03 +0300] "GET /LABA_FOUR/trains.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:03 +0300] "GET /LABA_FOUR/LoginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:07 +0300] "POST /LABA_FOUR/delServlet HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:10 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:10 +0300] "GET /LABA_FOUR/trains.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2014:17:43:10 +0300] "GET /LABA_FOUR/LoginForm.css HTTP/1.1" 304 -
